image_index,latitiude,longitude,projection,resolution,metadata,county,window_size,chunk_file
17,42.44203269320306,-84.01314789250705,EPSG:2898,"(2.0, 2.0)","{'driver': 'GTiff', 'dtype': 'uint8', 'nodata': 32.0, 'width': 83394, 'height': 70033, 'count': 3, 'crs': CRS.from_epsg(2898), 'transform': Affine(2.0, 0.0, 13183777.839566931,
       0.0, -2.0, 344504.31594488025)}",Washtenaw,1000,1
18,42.44200940733956,-84.0057381832093,EPSG:2898,"(2.0, 2.0)","{'driver': 'GTiff', 'dtype': 'uint8', 'nodata': 32.0, 'width': 83394, 'height': 70033, 'count': 3, 'crs': CRS.from_epsg(2898), 'transform': Affine(2.0, 0.0, 13183777.839566931,
       0.0, -2.0, 344504.31594488025)}",Washtenaw,1000,1
19,42.44198563847231,-83.99832847950276,EPSG:2898,"(2.0, 2.0)","{'driver': 'GTiff', 'dtype': 'uint8', 'nodata': 32.0, 'width': 83394, 'height': 70033, 'count': 3, 'crs': CRS.from_epsg(2898), 'transform': Affine(2.0, 0.0, 13183777.839566931,
       0.0, -2.0, 344504.31594488025)}",Washtenaw,1000,1
20,42.44196138660186,-83.99091878150217,EPSG:2898,"(2.0, 2.0)","{'driver': 'GTiff', 'dtype': 'uint8', 'nodata': 32.0, 'width': 83394, 'height': 70033, 'count': 3, 'crs': CRS.from_epsg(2898), 'transform': Affine(2.0, 0.0, 13183777.839566931,
       0.0, -2.0, 344504.31594488025)}",Washtenaw,1000,1
21,42.44193665172875,-83.98350908932234,EPSG:2898,"(2.0, 2.0)","{'driver': 'GTiff', 'dtype': 'uint8', 'nodata': 32.0, 'width': 83394, 'height': 70033, 'count': 3, 'crs': CRS.from_epsg(2898), 'transform': Affine(2.0, 0.0, 13183777.839566931,
       0.0, -2.0, 344504.31594488025)}",Washtenaw,1000,1
22,42.441911433853576,-83.97609940307802,EPSG:2898,"(2.0, 2.0)","{'driver': 'GTiff', 'dtype': 'uint8', 'nodata': 32.0, 'width': 83394, 'height': 70033, 'count': 3, 'crs': CRS.from_epsg(2898), 'transform': Affine(2.0, 0.0, 13183777.839566931,
       0.0, -2.0, 344504.31594488025)}",Washtenaw,1000,1
23,42.44188573297692,-83.968689722884,EPSG:2898,"(2.0, 2.0)","{'driver': 'GTiff', 'dtype': 'uint8', 'nodata': 32.0, 'width': 83394, 'height': 70033, 'count': 3, 'crs': CRS.from_epsg(2898), 'transform': Affine(2.0, 0.0, 13183777.839566931,
       0.0, -2.0, 344504.31594488025)}",Washtenaw,1000,1
24,42.44185954909938,-83.96128004885506,EPSG:2898,"(2.0, 2.0)","{'driver': 'GTiff', 'dtype': 'uint8', 'nodata': 32.0, 'width': 83394, 'height': 70033, 'count': 3, 'crs': CRS.from_epsg(2898), 'transform': Affine(2.0, 0.0, 13183777.839566931,
       0.0, -2.0, 344504.31594488025)}",Washtenaw,1000,1
25,42.44183288222155,-83.95387038110594,EPSG:2898,"(2.0, 2.0)","{'driver': 'GTiff', 'dtype': 'uint8', 'nodata': 32.0, 'width': 83394, 'height': 70033, 'count': 3, 'crs': CRS.from_epsg(2898), 'transform': Affine(2.0, 0.0, 13183777.839566931,
       0.0, -2.0, 344504.31594488025)}",Washtenaw,1000,1
26,42.44180573234404,-83.94646071975146,EPSG:2898,"(2.0, 2.0)","{'driver': 'GTiff', 'dtype': 'uint8', 'nodata': 32.0, 'width': 83394, 'height': 70033, 'count': 3, 'crs': CRS.from_epsg(2898), 'transform': Affine(2.0, 0.0, 13183777.839566931,
       0.0, -2.0, 344504.31594488025)}",Washtenaw,1000,1
27,42.44177809946752,-83.93905106490637,EPSG:2898,"(2.0, 2.0)","{'driver': 'GTiff', 'dtype': 'uint8', 'nodata': 32.0, 'width': 83394, 'height': 70033, 'count': 3, 'crs': CRS.from_epsg(2898), 'transform': Affine(2.0, 0.0, 13183777.839566931,
       0.0, -2.0, 344504.31594488025)}",Washtenaw,1000,1
28,42.441749983592594,-83.93164141668544,EPSG:2898,"(2.0, 2.0)","{'driver': 'GTiff', 'dtype': 'uint8', 'nodata': 32.0, 'width': 83394, 'height': 70033, 'count': 3, 'crs': CRS.from_epsg(2898), 'transform': Affine(2.0, 0.0, 13183777.839566931,
       0.0, -2.0, 344504.31594488025)}",Washtenaw,1000,1
29,42.44172138471992,-83.92423177520345,EPSG:2898,"(2.0, 2.0)","{'driver': 'GTiff', 'dtype': 'uint8', 'nodata': 32.0, 'width': 83394, 'height': 70033, 'count': 3, 'crs': CRS.from_epsg(2898), 'transform': Affine(2.0, 0.0, 13183777.839566931,
       0.0, -2.0, 344504.31594488025)}",Washtenaw,1000,1
30,42.441692302850164,-83.91682214057518,EPSG:2898,"(2.0, 2.0)","{'driver': 'GTiff', 'dtype': 'uint8', 'nodata': 32.0, 'width': 83394, 'height': 70033, 'count': 3, 'crs': CRS.from_epsg(2898), 'transform': Affine(2.0, 0.0, 13183777.839566931,
       0.0, -2.0, 344504.31594488025)}",Washtenaw,1000,1
31,42.441662737984004,-83.90941251291537,EPSG:2898,"(2.0, 2.0)","{'driver': 'GTiff', 'dtype': 'uint8', 'nodata': 32.0, 'width': 83394, 'height': 70033, 'count': 3, 'crs': CRS.from_epsg(2898), 'transform': Affine(2.0, 0.0, 13183777.839566931,
       0.0, -2.0, 344504.31594488025)}",Washtenaw,1000,1
32,42.44163269012212,-83.90200289233881,EPSG:2898,"(2.0, 2.0)","{'driver': 'GTiff', 'dtype': 'uint8', 'nodata': 32.0, 'width': 83394, 'height': 70033, 'count': 3, 'crs': CRS.from_epsg(2898), 'transform': Affine(2.0, 0.0, 13183777.839566931,
       0.0, -2.0, 344504.31594488025)}",Washtenaw,1000,1
33,42.44160215926522,-83.89459327896029,EPSG:2898,"(2.0, 2.0)","{'driver': 'GTiff', 'dtype': 'uint8', 'nodata': 32.0, 'width': 83394, 'height': 70033, 'count': 3, 'crs': CRS.from_epsg(2898), 'transform': Affine(2.0, 0.0, 13183777.839566931,
       0.0, -2.0, 344504.31594488025)}",Washtenaw,1000,1
34,42.44157114541399,-83.88718367289455,EPSG:2898,"(2.0, 2.0)","{'driver': 'GTiff', 'dtype': 'uint8', 'nodata': 32.0, 'width': 83394, 'height': 70033, 'count': 3, 'crs': CRS.from_epsg(2898), 'transform': Affine(2.0, 0.0, 13183777.839566931,
       0.0, -2.0, 344504.31594488025)}",Washtenaw,1000,1
35,42.441539648569176,-83.87977407425636,EPSG:2898,"(2.0, 2.0)","{'driver': 'GTiff', 'dtype': 'uint8', 'nodata': 32.0, 'width': 83394, 'height': 70033, 'count': 3, 'crs': CRS.from_epsg(2898), 'transform': Affine(2.0, 0.0, 13183777.839566931,
       0.0, -2.0, 344504.31594488025)}",Washtenaw,1000,1
36,42.44150766873149,-83.87236448316051,EPSG:2898,"(2.0, 2.0)","{'driver': 'GTiff', 'dtype': 'uint8', 'nodata': 32.0, 'width': 83394, 'height': 70033, 'count': 3, 'crs': CRS.from_epsg(2898), 'transform': Affine(2.0, 0.0, 13183777.839566931,
       0.0, -2.0, 344504.31594488025)}",Washtenaw,1000,1
37,42.44147520590168,-83.86495489972174,EPSG:2898,"(2.0, 2.0)","{'driver': 'GTiff', 'dtype': 'uint8', 'nodata': 32.0, 'width': 83394, 'height': 70033, 'count': 3, 'crs': CRS.from_epsg(2898), 'transform': Affine(2.0, 0.0, 13183777.839566931,
       0.0, -2.0, 344504.31594488025)}",Washtenaw,1000,1
38,42.44144226008047,-83.85754532405484,EPSG:2898,"(2.0, 2.0)","{'driver': 'GTiff', 'dtype': 'uint8', 'nodata': 32.0, 'width': 83394, 'height': 70033, 'count': 3, 'crs': CRS.from_epsg(2898), 'transform': Affine(2.0, 0.0, 13183777.839566931,
       0.0, -2.0, 344504.31594488025)}",Washtenaw,1000,1
39,42.44140883126867,-83.85013575627455,EPSG:2898,"(2.0, 2.0)","{'driver': 'GTiff', 'dtype': 'uint8', 'nodata': 32.0, 'width': 83394, 'height': 70033, 'count': 3, 'crs': CRS.from_epsg(2898), 'transform': Affine(2.0, 0.0, 13183777.839566931,
       0.0, -2.0, 344504.31594488025)}",Washtenaw,1000,1
40,42.44137491946703,-83.84272619649566,EPSG:2898,"(2.0, 2.0)","{'driver': 'GTiff', 'dtype': 'uint8', 'nodata': 32.0, 'width': 83394, 'height': 70033, 'count': 3, 'crs': CRS.from_epsg(2898), 'transform': Affine(2.0, 0.0, 13183777.839566931,
       0.0, -2.0, 344504.31594488025)}",Washtenaw,1000,1
41,42.441340524676335,-83.83531664483293,EPSG:2898,"(2.0, 2.0)","{'driver': 'GTiff', 'dtype': 'uint8', 'nodata': 32.0, 'width': 83394, 'height': 70033, 'count': 3, 'crs': CRS.from_epsg(2898), 'transform': Affine(2.0, 0.0, 13183777.839566931,
       0.0, -2.0, 344504.31594488025)}",Washtenaw,1000,1
42,42.4413056468974,-83.82790710140111,EPSG:2898,"(2.0, 2.0)","{'driver': 'GTiff', 'dtype': 'uint8', 'nodata': 32.0, 'width': 83394, 'height': 70033, 'count': 3, 'crs': CRS.from_epsg(2898), 'transform': Affine(2.0, 0.0, 13183777.839566931,
       0.0, -2.0, 344504.31594488025)}",Washtenaw,1000,1
43,42.44127028613101,-83.82049756631496,EPSG:2898,"(2.0, 2.0)","{'driver': 'GTiff', 'dtype': 'uint8', 'nodata': 32.0, 'width': 83394, 'height': 70033, 'count': 3, 'crs': CRS.from_epsg(2898), 'transform': Affine(2.0, 0.0, 13183777.839566931,
       0.0, -2.0, 344504.31594488025)}",Washtenaw,1000,1
44,42.44123444237798,-83.81308803968926,EPSG:2898,"(2.0, 2.0)","{'driver': 'GTiff', 'dtype': 'uint8', 'nodata': 32.0, 'width': 83394, 'height': 70033, 'count': 3, 'crs': CRS.from_epsg(2898), 'transform': Affine(2.0, 0.0, 13183777.839566931,
       0.0, -2.0, 344504.31594488025)}",Washtenaw,1000,1
45,42.441198115639175,-83.80567852163875,EPSG:2898,"(2.0, 2.0)","{'driver': 'GTiff', 'dtype': 'uint8', 'nodata': 32.0, 'width': 83394, 'height': 70033, 'count': 3, 'crs': CRS.from_epsg(2898), 'transform': Affine(2.0, 0.0, 13183777.839566931,
       0.0, -2.0, 344504.31594488025)}",Washtenaw,1000,1
46,42.44116130591541,-83.79826901227821,EPSG:2898,"(2.0, 2.0)","{'driver': 'GTiff', 'dtype': 'uint8', 'nodata': 32.0, 'width': 83394, 'height': 70033, 'count': 3, 'crs': CRS.from_epsg(2898), 'transform': Affine(2.0, 0.0, 13183777.839566931,
       0.0, -2.0, 344504.31594488025)}",Washtenaw,1000,1
47,42.44112401320755,-83.7908595117224,EPSG:2898,"(2.0, 2.0)","{'driver': 'GTiff', 'dtype': 'uint8', 'nodata': 32.0, 'width': 83394, 'height': 70033, 'count': 3, 'crs': CRS.from_epsg(2898), 'transform': Affine(2.0, 0.0, 13183777.839566931,
       0.0, -2.0, 344504.31594488025)}",Washtenaw,1000,1
48,42.44108623751645,-83.78345002008605,EPSG:2898,"(2.0, 2.0)","{'driver': 'GTiff', 'dtype': 'uint8', 'nodata': 32.0, 'width': 83394, 'height': 70033, 'count': 3, 'crs': CRS.from_epsg(2898), 'transform': Affine(2.0, 0.0, 13183777.839566931,
       0.0, -2.0, 344504.31594488025)}",Washtenaw,1000,1
49,42.44104797884298,-83.77604053748395,EPSG:2898,"(2.0, 2.0)","{'driver': 'GTiff', 'dtype': 'uint8', 'nodata': 32.0, 'width': 83394, 'height': 70033, 'count': 3, 'crs': CRS.from_epsg(2898), 'transform': Affine(2.0, 0.0, 13183777.839566931,
       0.0, -2.0, 344504.31594488025)}",Washtenaw,1000,1
50,42.44100923718805,-83.76863106403084,EPSG:2898,"(2.0, 2.0)","{'driver': 'GTiff', 'dtype': 'uint8', 'nodata': 32.0, 'width': 83394, 'height': 70033, 'count': 3, 'crs': CRS.from_epsg(2898), 'transform': Affine(2.0, 0.0, 13183777.839566931,
       0.0, -2.0, 344504.31594488025)}",Washtenaw,1000,1
51,42.44097001255253,-83.76122159984148,EPSG:2898,"(2.0, 2.0)","{'driver': 'GTiff', 'dtype': 'uint8', 'nodata': 32.0, 'width': 83394, 'height': 70033, 'count': 3, 'crs': CRS.from_epsg(2898), 'transform': Affine(2.0, 0.0, 13183777.839566931,
       0.0, -2.0, 344504.31594488025)}",Washtenaw,1000,1
52,42.44093030493736,-83.75381214503062,EPSG:2898,"(2.0, 2.0)","{'driver': 'GTiff', 'dtype': 'uint8', 'nodata': 32.0, 'width': 83394, 'height': 70033, 'count': 3, 'crs': CRS.from_epsg(2898), 'transform': Affine(2.0, 0.0, 13183777.839566931,
       0.0, -2.0, 344504.31594488025)}",Washtenaw,1000,1
53,42.44089011434344,-83.74640269971303,EPSG:2898,"(2.0, 2.0)","{'driver': 'GTiff', 'dtype': 'uint8', 'nodata': 32.0, 'width': 83394, 'height': 70033, 'count': 3, 'crs': CRS.from_epsg(2898), 'transform': Affine(2.0, 0.0, 13183777.839566931,
       0.0, -2.0, 344504.31594488025)}",Washtenaw,1000,1
54,42.44084944077171,-83.73899326400345,EPSG:2898,"(2.0, 2.0)","{'driver': 'GTiff', 'dtype': 'uint8', 'nodata': 32.0, 'width': 83394, 'height': 70033, 'count': 3, 'crs': CRS.from_epsg(2898), 'transform': Affine(2.0, 0.0, 13183777.839566931,
       0.0, -2.0, 344504.31594488025)}",Washtenaw,1000,1
55,42.44080828422308,-83.73158383801663,EPSG:2898,"(2.0, 2.0)","{'driver': 'GTiff', 'dtype': 'uint8', 'nodata': 32.0, 'width': 83394, 'height': 70033, 'count': 3, 'crs': CRS.from_epsg(2898), 'transform': Affine(2.0, 0.0, 13183777.839566931,
       0.0, -2.0, 344504.31594488025)}",Washtenaw,1000,1
56,42.440766644698556,-83.72417442186733,EPSG:2898,"(2.0, 2.0)","{'driver': 'GTiff', 'dtype': 'uint8', 'nodata': 32.0, 'width': 83394, 'height': 70033, 'count': 3, 'crs': CRS.from_epsg(2898), 'transform': Affine(2.0, 0.0, 13183777.839566931,
       0.0, -2.0, 344504.31594488025)}",Washtenaw,1000,1
57,42.44072452219906,-83.7167650156703,EPSG:2898,"(2.0, 2.0)","{'driver': 'GTiff', 'dtype': 'uint8', 'nodata': 32.0, 'width': 83394, 'height': 70033, 'count': 3, 'crs': CRS.from_epsg(2898), 'transform': Affine(2.0, 0.0, 13183777.839566931,
       0.0, -2.0, 344504.31594488025)}",Washtenaw,1000,1
58,42.44068191672562,-83.70935561954029,EPSG:2898,"(2.0, 2.0)","{'driver': 'GTiff', 'dtype': 'uint8', 'nodata': 32.0, 'width': 83394, 'height': 70033, 'count': 3, 'crs': CRS.from_epsg(2898), 'transform': Affine(2.0, 0.0, 13183777.839566931,
       0.0, -2.0, 344504.31594488025)}",Washtenaw,1000,1
59,42.44063882827917,-83.70194623359204,EPSG:2898,"(2.0, 2.0)","{'driver': 'GTiff', 'dtype': 'uint8', 'nodata': 32.0, 'width': 83394, 'height': 70033, 'count': 3, 'crs': CRS.from_epsg(2898), 'transform': Affine(2.0, 0.0, 13183777.839566931,
       0.0, -2.0, 344504.31594488025)}",Washtenaw,1000,1
60,42.44059525686072,-83.6945368579403,EPSG:2898,"(2.0, 2.0)","{'driver': 'GTiff', 'dtype': 'uint8', 'nodata': 32.0, 'width': 83394, 'height': 70033, 'count': 3, 'crs': CRS.from_epsg(2898), 'transform': Affine(2.0, 0.0, 13183777.839566931,
       0.0, -2.0, 344504.31594488025)}",Washtenaw,1000,1
61,42.44055120247132,-83.68712749269984,EPSG:2898,"(2.0, 2.0)","{'driver': 'GTiff', 'dtype': 'uint8', 'nodata': 32.0, 'width': 83394, 'height': 70033, 'count': 3, 'crs': CRS.from_epsg(2898), 'transform': Affine(2.0, 0.0, 13183777.839566931,
       0.0, -2.0, 344504.31594488025)}",Washtenaw,1000,1
62,42.44050666511194,-83.67971813798536,EPSG:2898,"(2.0, 2.0)","{'driver': 'GTiff', 'dtype': 'uint8', 'nodata': 32.0, 'width': 83394, 'height': 70033, 'count': 3, 'crs': CRS.from_epsg(2898), 'transform': Affine(2.0, 0.0, 13183777.839566931,
       0.0, -2.0, 344504.31594488025)}",Washtenaw,1000,1
63,42.44046164478363,-83.67230879391165,EPSG:2898,"(2.0, 2.0)","{'driver': 'GTiff', 'dtype': 'uint8', 'nodata': 32.0, 'width': 83394, 'height': 70033, 'count': 3, 'crs': CRS.from_epsg(2898), 'transform': Affine(2.0, 0.0, 13183777.839566931,
       0.0, -2.0, 344504.31594488025)}",Washtenaw,1000,1
